year,species_code,species,id,mu_hl,tot_hl
2014,21720,Pacific cod,s50,53.86666666666667,808
2014,21740,walleye pollock,s50,75.32307692307693,4896
2014,10110,arrowtooth flounder,s50,55.47692307692308,3606
2014,21921,Atka mackerel,s50,77.28571428571429,5410
2014,10130,flathead sole,s50,45.4390243902439,1863
2014,30060,Pacific ocean perch,s50,98.78010471204189,18867
2014,30420,northern rockfish,s50,94.88297872340425,8919
2014,30020,shortspine thornyhead,s50,40.19230769230769,1045
2016,21720,Pacific cod,s50,57.34375,1835
2016,10110,arrowtooth flounder,s50,62.372549019607845,3181
2016,30420,northern rockfish,s50,95.10526315789474,9035
2016,10130,flathead sole,s50,54.416666666666664,1306
2016,30060,Pacific ocean perch,s50,115.5598086124402,24152
2016,21740,walleye pollock,s50,67.10344827586206,3892
2016,21921,Atka mackerel,s50,88.65789473684211,3369
2016,30020,shortspine thornyhead,s50,1,1
2018,10110,arrowtooth flounder,s50,49.9264705882353,3395
2018,21740,walleye pollock,s50,88,6512
2018,21921,Atka mackerel,s50,64.35714285714286,3604
2018,21720,Pacific cod,s50,35.6,1068
2018,30060,Pacific ocean perch,s50,107.18085106382979,20150
2018,10130,flathead sole,s50,65.12903225806451,2019
2018,30420,northern rockfish,s50,96.82608695652173,8908
2018,30020,shortspine thornyhead,s50,24,24
2014,21720,Pacific cod,s75,53.888888888888886,485
2014,21740,walleye pollock,s75,75.47826086956522,3472
2014,10110,arrowtooth flounder,s75,44.795918367346935,2195
2014,21921,Atka mackerel,s75,58.671875,3755
2014,10130,flathead sole,s75,42,1050
2014,30060,Pacific ocean perch,s75,79.93258426966293,14228
2014,30420,northern rockfish,s75,79.8452380952381,6707
2014,30020,shortspine thornyhead,s75,33.1875,531
2016,10110,arrowtooth flounder,s75,56.189189189189186,2079
2016,30420,northern rockfish,s75,77.86206896551724,6774
2016,10130,flathead sole,s75,42.111111111111114,758
2016,21720,Pacific cod,s75,80.9375,1295
2016,30060,Pacific ocean perch,s75,96.87817258883248,19085
2016,21740,walleye pollock,s75,58.333333333333336,2625
2016,21921,Atka mackerel,s75,67.61111111111111,2434
2018,10110,arrowtooth flounder,s75,46.34090909090909,2039
2018,21740,walleye pollock,s75,74.28125,4754
2018,21921,Atka mackerel,s75,49.659574468085104,2334
2018,21720,Pacific cod,s75,30.647058823529413,521
2018,30060,Pacific ocean perch,s75,85.91160220994475,15550
2018,10130,flathead sole,s75,61.40909090909091,1351
2018,30420,northern rockfish,s75,86.51282051282051,6748
2014,21720,Pacific cod,s100,34.875,279
2014,21740,walleye pollock,s100,67.63888888888889,2435
2014,10110,arrowtooth flounder,s100,42.785714285714285,1198
2014,10130,flathead sole,s100,33.875,542
2014,30060,Pacific ocean perch,s100,61.239263803680984,9982
2014,30420,northern rockfish,s100,58.1375,4651
2014,21921,Atka mackerel,s100,44.23076923076923,2300
2014,30020,shortspine thornyhead,s100,31.571428571428573,221
2016,10110,arrowtooth flounder,s100,58.391304347826086,1343
2016,30420,northern rockfish,s100,66.04166666666667,4755
2016,10130,flathead sole,s100,40.4,404
2016,21720,Pacific cod,s100,65.07142857142857,911
2016,30060,Pacific ocean perch,s100,75.33333333333333,14238
2016,21740,walleye pollock,s100,50.75757575757576,1675
2016,21921,Atka mackerel,s100,43.82857142857143,1534
2018,10110,arrowtooth flounder,s100,43.370370370370374,1171
2018,21740,walleye pollock,s100,71.97826086956522,3311
2018,21921,Atka mackerel,s100,35.22222222222222,1268
2018,30060,Pacific ocean perch,s100,66.95808383233533,11182
2018,10130,flathead sole,s100,59.333333333333336,890
2018,30420,northern rockfish,s100,71.91176470588235,4890
2018,21720,Pacific cod,s100,35.857142857142854,251
