year,species_code,species,mu_hl_sx_n,max_hl_sx_n,total_n
2014,10110,arrowtooth flounder,32.36190476190476,238,10201
2014,10130,flathead sole,34.111111111111114,240,4945
2014,21720,Pacific cod,17.00749063670412,162,4541
2014,21740,walleye pollock,37.41818181818182,349,10300
2014,21921,Atka mackerel,44.73094170403587,246,9999
2014,30060,Pacific ocean perch,100.33788395904436,291,29569
2014,30420,northern rockfish,71.19806763285024,321,14738
2014,30020,shortspine thornyhead,31.594059405940595,158,3201
2016,10110,arrowtooth flounder,27.02654867256637,255,9166
2016,10130,flathead sole,25.261744966442954,191,3904
2016,21720,Pacific cod,21.812080536912752,201,6500
2016,21740,walleye pollock,33.34065934065934,284,9112
2016,30060,Pacific ocean perch,116.59415584415585,307,36065
2016,21921,Atka mackerel,37.99375,207,6080
2016,30420,northern rockfish,63.23430962343096,252,15116
2016,30020,shortspine thornyhead,8.673913043478262,51,4241
2018,10110,arrowtooth flounder,30.52994011976048,270,10225
2018,10130,flathead sole,32.67333333333333,247,4941
2018,21720,Pacific cod,18.854489164086687,168,6093
2018,21740,walleye pollock,42.16225165562914,254,12972
2018,21921,Atka mackerel,36.13861386138614,230,7301
2018,30060,Pacific ocean perch,106.05555555555556,307,30980
2018,30420,northern rockfish,63.61304347826087,290,14640
2018,30020,shortspine thornyhead,7.176470588235294,74,2954
