species_code,year,species,id,mu_hl,tot_hl
10210,2019,yellowfin sole,s50,69.14285714,14036
10261,2019,northern rock sole,s50,60.49142857,10586
21740,2019,walleye pollock,s50,93.87356322,24501
21720,2019,Pacific cod,s50,46.21311475,2819
10285,2019,Alaska plaice,s50,35.36507937,2228
10130,2019,flathead sole,s50,51.20245399,8346
10261,2018,northern rock sole,s50,64.52380952,12195
21720,2018,Pacific cod,s50,43.36065574,2645
10210,2018,yellowfin sole,s50,72.49593496,17834
21740,2018,walleye pollock,s50,93.2754491,31154
21740,2017,walleye pollock,s50,92.64102564,28904
10130,2017,flathead sole,s50,60.38095238,8876
10112,2017,Kamchatka flounder,s50,16.25,65
21720,2017,Pacific cod,s50,39.55555556,2492
10110,2017,arrowtooth flounder,s50,48.40860215,4502
10210,2017,yellowfin sole,s50,69.13888889,14934
10285,2017,Alaska plaice,s50,40.63636364,2235
10261,2017,northern rock sole,s50,60.31284916,10796
10110,2018,arrowtooth flounder,s50,50.48684211,7674
10130,2018,flathead sole,s50,64.67759563,11836
10285,2018,Alaska plaice,s50,36.19166667,4343
10112,2018,Kamchatka flounder,s50,25.5,51
10110,2019,arrowtooth flounder,s50,56.85436893,5856
10112,2019,Kamchatka flounder,s50,40,160
10210,2019,yellowfin sole,s75,53.10344828,9240
10261,2019,northern rock sole,s75,52.47286822,6769
10285,2019,Alaska plaice,s75,35.67741935,1106
21720,2019,Pacific cod,s75,35.92857143,1509
21740,2019,walleye pollock,s75,74.15510204,18168
10130,2019,flathead sole,s75,42.4122807,4835
10261,2018,northern rock sole,s75,58.93382353,8015
10210,2018,yellowfin sole,s75,56.88679245,12060
21740,2018,walleye pollock,s75,78.53898305,23169
21720,2018,Pacific cod,s75,49.58064516,1537
21740,2017,walleye pollock,s75,76.10992908,21463
10130,2017,flathead sole,s75,49.70175439,5666
21720,2017,Pacific cod,s75,45.38709677,1407
10110,2017,arrowtooth flounder,s75,43.81355932,2585
10285,2017,Alaska plaice,s75,38.58064516,1196
10210,2017,yellowfin sole,s75,54.87845304,9933
10261,2017,northern rock sole,s75,52.3740458,6861
10112,2017,Kamchatka flounder,s75,20,20
10110,2018,arrowtooth flounder,s75,46.80412371,4540
10130,2018,flathead sole,s75,57.67910448,7729
10285,2018,Alaska plaice,s75,33.06349206,2083
10112,2018,Kamchatka flounder,s75,20,20
10110,2019,arrowtooth flounder,s75,50.21917808,3666
10112,2019,Kamchatka flounder,s75,26.66666667,80
10210,2019,yellowfin sole,s100,44.224,5528
10261,2019,northern rock sole,s100,45.08988764,4013
10285,2019,Alaska plaice,s100,34.73333333,521
21720,2019,Pacific cod,s100,38.4,768
10130,2019,flathead sole,s100,34.06849315,2487
10261,2018,northern rock sole,s100,49.99009901,5049
10210,2018,yellowfin sole,s100,49.54966887,7482
21740,2018,walleye pollock,s100,65.57429719,16328
21720,2018,Pacific cod,s100,48.15789474,915
21740,2017,walleye pollock,s100,59.89068826,14793
21720,2017,Pacific cod,s100,36.71428571,771
10110,2017,arrowtooth flounder,s100,41.08571429,1438
10210,2017,yellowfin sole,s100,45.46969697,6002
10130,2017,flathead sole,s100,44.22368421,3361
10261,2017,northern rock sole,s100,47.51724138,4134
10285,2017,Alaska plaice,s100,31.38888889,565
10110,2018,arrowtooth flounder,s100,43.13559322,2545
10285,2018,Alaska plaice,s100,35.79310345,1038
10130,2018,flathead sole,s100,51.35483871,4776
10110,2019,arrowtooth flounder,s100,45.04166667,2162
21740,2019,walleye pollock,s100,56.23744292,12316
10112,2019,Kamchatka flounder,s100,27,27
10210,2019,yellowfin sole,s125,38.94805195,2999
10261,2019,northern rock sole,s125,45.18,2259
