Species,2017,2019,2021,Avg
arrowtooth flounder,"35,219","38,673","36,429","36,774"
flathead sole,"16,086","14,272","15,321","15,226"
northern rock sole,"4,776","3,297","2,960","3,678"
northern rockfish,"2,570","2,237","2,088","2,298"
Pacific cod,"2,601","3,745","3,999","3,448"
Pacific ocean perch,"20,710","26,270","22,801","23,260"
rex sole,"10,374","13,168","15,033","12,858"
sablefish,"4,599","8,743","9,055","7,466"
shortspine thornyhead,"10,376","10,154","10,132","10,221"
southern rock sole,"5,986","6,878","8,661","7,175"
walleye pollock,"13,782","16,476","23,218","17,825"
