year,region,species_code,species,id,mu_hl,tot_hl
2014,ai,21720,Pacific cod,s50,53.86666667,808
2014,ai,21740,walleye pollock,s50,75.32307692,4896
2014,ai,10110,arrowtooth flounder,s50,55.47692308,3606
2014,ai,21921,Atka mackerel,s50,77.28571429,5410
2014,ai,10130,flathead sole,s50,45.43902439,1863
2014,ai,30060,Pacific ocean perch,s50,98.78010471,18867
2014,ai,30420,northern rockfish,s50,94.88297872,8919
2014,ai,30020,shortspine thornyhead,s50,40.19230769,1045
2016,ai,21720,Pacific cod,s50,57.34375,1835
2016,ai,10110,arrowtooth flounder,s50,62.37254902,3181
2016,ai,30420,northern rockfish,s50,95.10526316,9035
2016,ai,10130,flathead sole,s50,54.41666667,1306
2016,ai,30060,Pacific ocean perch,s50,115.5598086,24152
2016,ai,21740,walleye pollock,s50,67.10344828,3892
2016,ai,21921,Atka mackerel,s50,88.65789474,3369
2016,ai,30020,shortspine thornyhead,s50,1,1
2018,ai,10110,arrowtooth flounder,s50,49.92647059,3395
2018,ai,21740,walleye pollock,s50,88,6512
2018,ai,21921,Atka mackerel,s50,64.35714286,3604
2018,ai,21720,Pacific cod,s50,35.6,1068
2018,ai,30060,Pacific ocean perch,s50,107.1808511,20150
2018,ai,10130,flathead sole,s50,65.12903226,2019
2018,ai,30420,northern rockfish,s50,96.82608696,8908
2018,ai,30020,shortspine thornyhead,s50,24,24
2014,ai,21720,Pacific cod,s75,53.88888889,485
2014,ai,21740,walleye pollock,s75,75.47826087,3472
2014,ai,10110,arrowtooth flounder,s75,44.79591837,2195
2014,ai,21921,Atka mackerel,s75,58.671875,3755
2014,ai,10130,flathead sole,s75,42,1050
2014,ai,30060,Pacific ocean perch,s75,79.93258427,14228
2014,ai,30420,northern rockfish,s75,79.8452381,6707
2014,ai,30020,shortspine thornyhead,s75,33.1875,531
2016,ai,10110,arrowtooth flounder,s75,56.18918919,2079
2016,ai,30420,northern rockfish,s75,77.86206897,6774
2016,ai,10130,flathead sole,s75,42.11111111,758
2016,ai,21720,Pacific cod,s75,80.9375,1295
2016,ai,30060,Pacific ocean perch,s75,96.87817259,19085
2016,ai,21740,walleye pollock,s75,58.33333333,2625
2016,ai,21921,Atka mackerel,s75,67.61111111,2434
2018,ai,10110,arrowtooth flounder,s75,46.34090909,2039
2018,ai,21740,walleye pollock,s75,74.28125,4754
2018,ai,21921,Atka mackerel,s75,49.65957447,2334
2018,ai,21720,Pacific cod,s75,30.64705882,521
2018,ai,30060,Pacific ocean perch,s75,85.91160221,15550
2018,ai,10130,flathead sole,s75,61.40909091,1351
2018,ai,30420,northern rockfish,s75,86.51282051,6748
2014,ai,21720,Pacific cod,s100,34.875,279
2014,ai,21740,walleye pollock,s100,67.63888889,2435
2014,ai,10110,arrowtooth flounder,s100,42.78571429,1198
2014,ai,10130,flathead sole,s100,33.875,542
2014,ai,30060,Pacific ocean perch,s100,61.2392638,9982
2014,ai,30420,northern rockfish,s100,58.1375,4651
2014,ai,21921,Atka mackerel,s100,44.23076923,2300
2014,ai,30020,shortspine thornyhead,s100,31.57142857,221
2016,ai,10110,arrowtooth flounder,s100,58.39130435,1343
2016,ai,30420,northern rockfish,s100,66.04166667,4755
2016,ai,10130,flathead sole,s100,40.4,404
2016,ai,21720,Pacific cod,s100,65.07142857,911
2016,ai,30060,Pacific ocean perch,s100,75.33333333,14238
2016,ai,21740,walleye pollock,s100,50.75757576,1675
2016,ai,21921,Atka mackerel,s100,43.82857143,1534
2018,ai,10110,arrowtooth flounder,s100,43.37037037,1171
2018,ai,21740,walleye pollock,s100,71.97826087,3311
2018,ai,21921,Atka mackerel,s100,35.22222222,1268
2018,ai,30060,Pacific ocean perch,s100,66.95808383,11182
2018,ai,10130,flathead sole,s100,59.33333333,890
2018,ai,30420,northern rockfish,s100,71.91176471,4890
2018,ai,21720,Pacific cod,s100,35.85714286,251
2014,ai,21740,walleye pollock,s125,70.375,1689
2014,ai,10110,arrowtooth flounder,s125,31.57894737,600
2014,ai,10130,flathead sole,s125,32.375,259
2014,ai,30060,Pacific ocean perch,s125,46.5,6231
2014,ai,21720,Pacific cod,s125,24.2,121
2014,ai,30420,northern rockfish,s125,39.56521739,2730
2014,ai,21921,Atka mackerel,s125,42.4,1272
2014,ai,30020,shortspine thornyhead,s125,16.75,67
2016,ai,10110,arrowtooth flounder,s125,63.57142857,890
2016,ai,30420,northern rockfish,s125,48.53968254,3058
2016,ai,10130,flathead sole,s125,25.42857143,178
2016,ai,21720,Pacific cod,s125,47.58333333,571
2016,ai,30060,Pacific ocean perch,s125,56.71929825,9699
2016,ai,21740,walleye pollock,s125,47.76190476,1003
2016,ai,21921,Atka mackerel,s125,32.88,822
2018,ai,10110,arrowtooth flounder,s125,45.42857143,636
2018,ai,21740,walleye pollock,s125,58.34210526,2217
2018,ai,30060,Pacific ocean perch,s125,48.14765101,7174
2018,ai,10130,flathead sole,s125,40.15384615,522
2018,ai,30420,northern rockfish,s125,54.85,3291
2018,ai,21921,Atka mackerel,s125,33.76470588,574
2018,ai,21720,Pacific cod,s125,24.25,97
2014,ai,21740,walleye pollock,s150,53.52380952,1124
2014,ai,10110,arrowtooth flounder,s150,28.88888889,260
2014,ai,10130,flathead sole,s150,41.33333333,124
2014,ai,30060,Pacific ocean perch,s150,36.31521739,3341
2014,ai,21720,Pacific cod,s150,9.333333333,28
2014,ai,21921,Atka mackerel,s150,30.19047619,634
2014,ai,30420,northern rockfish,s150,29.17777778,1313
2014,ai,30020,shortspine thornyhead,s150,8,8
2016,ai,30420,northern rockfish,s150,31.35294118,1599
2016,ai,10110,arrowtooth flounder,s150,52,572
2016,ai,21720,Pacific cod,s150,34.55555556,311
