"species_code","year","species","id","mu_hl","tot_hl"
10210,2019,"yellowfin sole","s50",69.1428571428571,14036
10261,2019,"northern rock sole","s50",60.4914285714286,10586
21740,2019,"walleye pollock","s50",93.8735632183908,24501
21720,2019,"Pacific cod","s50",46.2131147540984,2819
10285,2019,"Alaska plaice","s50",35.3650793650794,2228
10130,2019,"flathead sole","s50",51.2024539877301,8346
10261,2018,"northern rock sole","s50",64.5238095238095,12195
21720,2018,"Pacific cod","s50",43.3606557377049,2645
10210,2018,"yellowfin sole","s50",72.4959349593496,17834
21740,2018,"walleye pollock","s50",93.2754491017964,31154
21740,2017,"walleye pollock","s50",92.6410256410256,28904
10130,2017,"flathead sole","s50",60.3809523809524,8876
10112,2017,"Kamchatka flounder","s50",16.25,65
21720,2017,"Pacific cod","s50",39.5555555555556,2492
10110,2017,"arrowtooth flounder","s50",48.4086021505376,4502
10210,2017,"yellowfin sole","s50",69.1388888888889,14934
10285,2017,"Alaska plaice","s50",40.6363636363636,2235
10261,2017,"northern rock sole","s50",60.3128491620112,10796
10110,2018,"arrowtooth flounder","s50",50.4868421052632,7674
10130,2018,"flathead sole","s50",64.6775956284153,11836
10285,2018,"Alaska plaice","s50",36.1916666666667,4343
10112,2018,"Kamchatka flounder","s50",25.5,51
10110,2019,"arrowtooth flounder","s50",56.8543689320388,5856
10112,2019,"Kamchatka flounder","s50",40,160
10210,2019,"yellowfin sole","s75",53.1034482758621,9240
10261,2019,"northern rock sole","s75",52.4728682170543,6769
10285,2019,"Alaska plaice","s75",35.6774193548387,1106
21720,2019,"Pacific cod","s75",35.9285714285714,1509
21740,2019,"walleye pollock","s75",74.1551020408163,18168
10130,2019,"flathead sole","s75",42.4122807017544,4835
10261,2018,"northern rock sole","s75",58.9338235294118,8015
10210,2018,"yellowfin sole","s75",56.8867924528302,12060
21740,2018,"walleye pollock","s75",78.5389830508475,23169
21720,2018,"Pacific cod","s75",49.5806451612903,1537
21740,2017,"walleye pollock","s75",76.1099290780142,21463
10130,2017,"flathead sole","s75",49.7017543859649,5666
21720,2017,"Pacific cod","s75",45.3870967741936,1407
10110,2017,"arrowtooth flounder","s75",43.8135593220339,2585
10285,2017,"Alaska plaice","s75",38.5806451612903,1196
10210,2017,"yellowfin sole","s75",54.878453038674,9933
10261,2017,"northern rock sole","s75",52.3740458015267,6861
10112,2017,"Kamchatka flounder","s75",20,20
10110,2018,"arrowtooth flounder","s75",46.8041237113402,4540
10130,2018,"flathead sole","s75",57.6791044776119,7729
10285,2018,"Alaska plaice","s75",33.0634920634921,2083
10112,2018,"Kamchatka flounder","s75",20,20
10110,2019,"arrowtooth flounder","s75",50.2191780821918,3666
10112,2019,"Kamchatka flounder","s75",26.6666666666667,80
10210,2019,"yellowfin sole","s100",44.224,5528
10261,2019,"northern rock sole","s100",45.0898876404494,4013
10285,2019,"Alaska plaice","s100",34.7333333333333,521
21720,2019,"Pacific cod","s100",38.4,768
10130,2019,"flathead sole","s100",34.0684931506849,2487
10261,2018,"northern rock sole","s100",49.990099009901,5049
10210,2018,"yellowfin sole","s100",49.5496688741722,7482
21740,2018,"walleye pollock","s100",65.574297188755,16328
