year,species_code,species,id,mu_hl,tot_hl
2021,10200,rex sole,s50,41.75423728813559,4927
2021,21740,walleye pollock,s50,88.28260869565217,12183
2021,30060,Pacific ocean perch,s50,97.0551724137931,14073
2021,10130,flathead sole,s50,59.90909090909091,6590
2021,10110,arrowtooth flounder,s50,67.64028776978417,18804
2021,20510,sablefish,s50,44.36923076923077,2884
2021,10262,southern rock sole,s50,42.513888888888886,3061
2021,10261,northern rock sole,s50,48.15,963
2021,21720,Pacific cod,s50,28.0625,449
2021,30420,northern rockfish,s50,87.46153846153847,1137
2021,21921,Atka mackerel,s50,96,96
2021,30020,shortspine thornyhead,s50,37,37
2019,10110,arrowtooth flounder,s50,72.15034965034965,20635
2019,10200,rex sole,s50,38.56842105263158,3664
2019,20510,sablefish,s50,54.680851063829785,2570
2019,30060,Pacific ocean perch,s50,96.08333333333333,16142
2019,21740,walleye pollock,s50,97.325,7786
2019,10262,southern rock sole,s50,37.568627450980394,1916
2019,10130,flathead sole,s50,53.20952380952381,5587
2019,10261,northern rock sole,s50,50.80952380952381,1067
2019,21720,Pacific cod,s50,46.75,561
2019,30420,northern rockfish,s50,63.733333333333334,956
2019,30020,shortspine thornyhead,s50,64.5,258
2017,20510,sablefish,s50,58.3125,933
2017,10110,arrowtooth flounder,s50,72.26984126984127,18212
2017,10130,flathead sole,s50,57.733870967741936,7159
2017,10262,southern rock sole,s50,27,1431
2017,21740,walleye pollock,s50,80.01587301587301,5041
2017,10200,rex sole,s50,35.58108108108108,2633
2017,10261,northern rock sole,s50,47.94117647058823,1630
2017,30420,northern rockfish,s50,75.70588235294117,1287
2017,30060,Pacific ocean perch,s50,92.3409090909091,12189
2017,21720,Pacific cod,s50,19.625,157
2017,30020,shortspine thornyhead,s50,37,37
2017,21921,Atka mackerel,s50,81.75,327
2021,10200,rex sole,s75,34.770270270270274,2573
2021,21740,walleye pollock,s75,83.95370370370371,9067
2021,30060,Pacific ocean perch,s75,77.625,10557
2021,10130,flathead sole,s75,49.975903614457835,4148
2021,10110,arrowtooth flounder,s75,54.3421052631579,12390
2021,20510,sablefish,s75,48.457142857142856,1696
2021,10262,southern rock sole,s75,39.63414634146341,1625
2021,21720,Pacific cod,s75,22.5,180
2021,10261,northern rock sole,s75,48.166666666666664,578
2021,30420,northern rockfish,s75,75.36363636363636,829
2021,21921,Atka mackerel,s75,71,71
2021,30020,shortspine thornyhead,s75,12,12
2019,10110,arrowtooth flounder,s75,63.44642857142857,14212
2019,10200,rex sole,s75,30.982758620689655,1797
2019,30060,Pacific ocean perch,s75,80.54966887417218,12163
2019,21740,walleye pollock,s75,90.81818181818181,5994
2019,10262,southern rock sole,s75,31.857142857142858,892
2019,10130,flathead sole,s75,45.445945945945944,3363
2019,10261,northern rock sole,s75,31.166666666666668,561
2019,20510,sablefish,s75,52.21875,1671
2019,21720,Pacific cod,s75,56.166666666666664,337
2019,30020,shortspine thornyhead,s75,59.666666666666664,179
2019,30420,northern rockfish,s75,52.833333333333336,634
2017,10110,arrowtooth flounder,s75,62.765,12553
2017,10130,flathead sole,s75,48.380434782608695,4451
2017,10262,southern rock sole,s75,19.56,489
2017,21740,walleye pollock,s75,86.62790697674419,3725
2017,10200,rex sole,s75,31.692307692307693,1236
2017,10261,northern rock sole,s75,45.9,918
2017,30420,northern rockfish,s75,55.375,886
2017,30060,Pacific ocean perch,s75,74.18032786885246,9050
2017,20510,sablefish,s75,55.09090909090909,606
2017,21720,Pacific cod,s75,8,32
2017,30020,shortspine thornyhead,s75,12,12
2017,21921,Atka mackerel,s75,56.75,227
2021,10200,rex sole,s100,30.81081081081081,1140
2021,30060,Pacific ocean perch,s100,58.86290322580645,7299
2021,10130,flathead sole,s100,42.421052631578945,2418
2021,21740,walleye pollock,s100,84.5875,6767
2021,10110,arrowtooth flounder,s100,46.34567901234568,7508
2021,20510,sablefish,s100,39.333333333333336,944
2021,10262,southern rock sole,s100,28.25925925925926,763
2021,21720,Pacific cod,s100,16.5,66
2021,30420,northern rockfish,s100,55.5,555
2021,10261,northern rock sole,s100,41.125,329
2021,21921,Atka mackerel,s100,46,46
2019,10110,arrowtooth flounder,s100,54.86904761904762,9218
2019,30060,Pacific ocean perch,s100,63.34814814814815,8552
2019,21740,walleye pollock,s100,74.9322033898305,4421
2019,10130,flathead sole,s100,32.018181818181816,1761
2019,10200,rex sole,s100,26.892857142857142,753
2019,10262,southern rock sole,s100,26.571428571428573,372
2019,20510,sablefish,s100,43.30434782608695,996
2019,21720,Pacific cod,s100,53.25,213
2019,10261,northern rock sole,s100,24.11111111111111,217
2019,30020,shortspine thornyhead,s100,59.5,119
2019,30420,northern rockfish,s100,40.111111111111114,361
2017,10110,arrowtooth flounder,s100,56.1156462585034,8249
2017,10130,flathead sole,s100,36.61194029850746,2453
2017,10262,southern rock sole,s100,14.375,115
2017,21740,walleye pollock,s100,82.05882352941177,2790
2017,10261,northern rock sole,s100,39.30769230769231,511
2017,30420,northern rockfish,s100,40.23076923076923,523
2017,10200,rex sole,s100,24.42105263157895,464
2017,30060,Pacific ocean perch,s100,57.101851851851855,6167
2017,20510,sablefish,s100,56.857142857142854,398
2017,21921,Atka mackerel,s100,31.75,127
2021,10200,rex sole,s125,30.235294117647058,514
2021,30060,Pacific ocean perch,s125,43.166666666666664,4403
2021,10130,flathead sole,s125,37,1258
2021,20510,sablefish,s125,29.133333333333333,437
2021,21740,walleye pollock,s125,81.39344262295081,4965
2021,10262,southern rock sole,s125,17.428571428571427,244
2021,10110,arrowtooth flounder,s125,40.65686274509804,4147
2021,21720,Pacific cod,s125,37,37
2021,30420,northern rockfish,s125,40.25,322
2021,10261,northern rock sole,s125,39.5,158
2021,21921,Atka mackerel,s125,21,21
2019,10110,arrowtooth flounder,s125,48.034188034188034,5620
2019,21740,walleye pollock,s125,87.24324324324324,3228
2019,30060,Pacific ocean perch,s125,44.75,5370
2019,10130,flathead sole,s125,23.9,717
2019,10200,rex sole,s125,31.2,312
2019,21720,Pacific cod,s125,42.333333333333336,127
2019,20510,sablefish,s125,41.38461538461539,538
2019,10261,northern rock sole,s125,16.666666666666668,50
2019,30020,shortspine thornyhead,s125,73,73
2019,30420,northern rockfish,s125,29.166666666666668,175
2019,10262,southern rock sole,s125,33.6,168
2017,10110,arrowtooth flounder,s125,53.316326530612244,5225
2017,21740,walleye pollock,s125,97.0909090909091,2136
2017,10130,flathead sole,s125,34.38235294117647,1169
2017,30420,northern rockfish,s125,20.636363636363637,227
2017,10261,northern rock sole,s125,45,270
2017,30060,Pacific ocean perch,s125,40.72222222222222,3665
2017,10200,rex sole,s125,15.88888888888889,143
2017,20510,sablefish,s125,46.2,231
2017,10262,southern rock sole,s125,15,30
2017,21921,Atka mackerel,s125,29,58
2021,30060,Pacific ocean perch,s150,28.36842105263158,2156
2021,10200,rex sole,s150,27.875,223
2021,20510,sablefish,s150,29.5,177
2021,21740,walleye pollock,s150,82.04545454545455,3610
2021,21720,Pacific cod,s150,12,12
2021,10110,arrowtooth flounder,s150,36.91379310344828,2141
2021,10262,southern rock sole,s150,15,45
2021,10130,flathead sole,s150,34.833333333333336,627
2021,30420,northern rockfish,s150,23.666666666666668,142
2021,10261,northern rock sole,s150,45.5,91
2019,21740,walleye pollock,s150,90.25925925925925,2437
2019,30060,Pacific ocean perch,s150,32.67857142857143,2745
2019,10130,flathead sole,s150,35.625,285
2019,10200,rex sole,s150,22.2,111
2019,10110,arrowtooth flounder,s150,53.87096774193548,3340
2019,21720,Pacific cod,s150,33,66
2019,30020,shortspine thornyhead,s150,48,48
2019,20510,sablefish,s150,26.3,263
2019,30420,northern rockfish,s150,13.5,54
2019,10262,southern rock sole,s150,34.5,69
2017,10110,arrowtooth flounder,s150,50.0625,3204
2017,21740,walleye pollock,s150,102.9375,1647
2017,10130,flathead sole,s150,31.375,502
2017,10261,northern rock sole,s150,39.75,159
2017,30060,Pacific ocean perch,s150,30.593220338983052,1805
2017,20510,sablefish,s150,27,108
2017,30420,northern rockfish,s150,14,42
2017,10262,southern rock sole,s150,4,4
2017,21921,Atka mackerel,s150,20,20
2017,10200,rex sole,s150,16,16
2021,30060,Pacific ocean perch,s175,23.514285714285716,823
2021,20510,sablefish,s175,14.75,59
2021,21740,walleye pollock,s175,69.72972972972973,2580
2021,10110,arrowtooth flounder,s175,35.3,1059
2021,10130,flathead sole,s175,28.9,289
2021,10200,rex sole,s175,17,51
2021,30420,northern rockfish,s175,17,34
2021,10262,southern rock sole,s175,8,8
2021,10261,northern rock sole,s175,54,54
2019,21740,walleye pollock,s175,78.17391304347827,1798
2019,10130,flathead sole,s175,35,140
2019,30060,Pacific ocean perch,s175,25.227272727272727,1110
2019,10110,arrowtooth flounder,s175,52.23076923076923,2037
2019,30020,shortspine thornyhead,s175,23,23
2019,10200,rex sole,s175,13.5,27
2019,10262,southern rock sole,s175,9.5,19
2019,20510,sablefish,s175,19.75,79
2019,21720,Pacific cod,s175,19,19
2017,10110,arrowtooth flounder,s175,47.15,1886
2017,21740,walleye pollock,s175,91.28571428571429,1278
2017,10130,flathead sole,s175,25.444444444444443,229
2017,10261,northern rock sole,s175,25,75
2017,30060,Pacific ocean perch,s175,24.4,732
2017,20510,sablefish,s175,15,30
2017,30420,northern rockfish,s175,6,6
