year,region,species_code,species,mu_hl_sx_n,max_hl_sx_n,total_n
2017,ebs,10110,arrowtooth flounder,52.59907834,307,11437
2017,ebs,10130,flathead sole,65.41726619,294,18843
2017,ebs,10210,yellowfin sole,99.6381323,298,25767
2017,ebs,10261,northern rock sole,97.80906149,3099,30728
2017,ebs,10285,Alaska plaice,31.24806202,209,8065
2017,ebs,21720,Pacific cod,30.04347826,237,11149
2017,ebs,21740,walleye pollock,502.3867403,11755,192704
2017,ebs,10112,Kamchatka flounder,13.83769634,95,2647
2017,ebs,30060,Pacific ocean perch,32.81818182,155,366
2017,ebs,10115,Greenland turbot,5.567164179,25,373
2018,ebs,10130,flathead sole,71.31547619,330,26826
2018,ebs,10261,northern rock sole,70.45535714,811,31618
2018,ebs,10285,Alaska plaice,42.98214286,297,12038
2018,ebs,21720,Pacific cod,24.1160221,272,8806
2018,ebs,21740,walleye pollock,230.2391304,3333,100983
2018,ebs,10110,arrowtooth flounder,58.453125,385,18744
2018,ebs,10210,yellowfin sole,104.4826255,304,27285
2018,ebs,10112,Kamchatka flounder,9.911764706,95,2736
2018,ebs,30060,Pacific ocean perch,49.5,187,599
2018,ebs,10115,Greenland turbot,3.233766234,16,249
2019,ebs,10210,yellowfin sole,94.50557621,300,25669
2019,ebs,10261,northern rock sole,66.91167192,334,23017
2019,ebs,10285,Alaska plaice,32.45289855,219,9071
2019,ebs,21720,Pacific cod,48.86027397,1645,17959
2019,ebs,21740,walleye pollock,622.2668464,7722,257236
2019,ebs,10130,flathead sole,60.44582043,244,20587
2019,ebs,10110,arrowtooth flounder,49.89045936,246,14276
2019,ebs,10112,Kamchatka flounder,9.342995169,127,1945
2019,ebs,30060,Pacific ocean perch,12.33333333,63,186
2019,ebs,10115,Greenland turbot,2.5,13,165
2014,ai,10110,arrowtooth flounder,32.36190476,238,10201
2014,ai,10130,flathead sole,34.11111111,240,4945
2014,ai,21720,Pacific cod,17.00749064,162,4541
2014,ai,21740,walleye pollock,37.41818182,349,10300
2014,ai,21921,Atka mackerel,44.7309417,246,9999
2014,ai,30060,Pacific ocean perch,100.337884,291,29569
2014,ai,30420,northern rockfish,71.19806763,321,14738
2014,ai,30020,shortspine thornyhead,31.59405941,158,3201
2016,ai,10110,arrowtooth flounder,27.02654867,255,9166
2016,ai,10130,flathead sole,25.26174497,191,3904
2016,ai,21720,Pacific cod,21.81208054,201,6500
2016,ai,21740,walleye pollock,33.34065934,284,9112
2016,ai,30060,Pacific ocean perch,116.5941558,307,36065
2016,ai,21921,Atka mackerel,37.99375,207,6080
2016,ai,30420,northern rockfish,63.23430962,252,15116
2016,ai,30020,shortspine thornyhead,8.673913043,51,4241
2018,ai,10110,arrowtooth flounder,30.52994012,270,10225
2018,ai,10130,flathead sole,32.67333333,247,4941
2018,ai,21720,Pacific cod,18.85448916,168,6093
2018,ai,21740,walleye pollock,42.16225166,254,12972
2018,ai,21921,Atka mackerel,36.13861386,230,7301
2018,ai,30060,Pacific ocean perch,106.0555556,307,30980
2018,ai,30420,northern rockfish,63.61304348,290,14640
2018,ai,30020,shortspine thornyhead,7.176470588,74,2954
2021,goa,10200,rex sole,37.46633416,218,15033
2021,goa,20510,sablefish,29.68852459,195,9055
2021,goa,21720,Pacific cod,12.38080495,162,3999
2021,goa,21740,walleye pollock,53.66348449,781,23218
2021,goa,30060,Pacific ocean perch,81.70609319,283,22801
2021,goa,30020,shortspine thornyhead,4.672897196,87,10132
2021,goa,10110,arrowtooth flounder,72.98396794,321,36429
2021,goa,10262,southern rock sole,39.9124424,183,8661
2021,goa,10130,flathead sole,48.2,239,15321
2021,goa,10261,northern rock sole,21.28776978,229,2960
2021,goa,30420,northern rockfish,29.82857143,208,2088
2021,goa,21921,Atka mackerel,10.77777778,146,194
2019,goa,10110,arrowtooth flounder,76.7693837,356,38673
2019,goa,10130,flathead sole,43.70532915,248,14272
2019,goa,10200,rex sole,32.39506173,200,13168
2019,goa,10261,northern rock sole,21.27096774,148,3297
2019,goa,10262,southern rock sole,33.54146341,191,6878
2019,goa,21720,Pacific cod,11.81587302,194,3745
2019,goa,21740,walleye pollock,36.19585253,702,16476
2019,goa,21921,Atka mackerel,1.607142857,8,45
2019,goa,30060,Pacific ocean perch,86.13486842,268,26270
2019,goa,30420,northern rockfish,30.21621622,167,2237
2019,goa,20510,sablefish,26.3253012,222,8743
2019,goa,30020,shortspine thornyhead,8.372727273,198,10154
2017,goa,21740,walleye pollock,29.46153846,842,13782
2017,goa,21921,Atka mackerel,20.83870968,170,646
2017,goa,10110,arrowtooth flounder,71.18825911,415,35219
2017,goa,20510,sablefish,15.33,197,4599
2017,goa,10130,flathead sole,51.86928105,239,16086
2017,goa,10200,rex sole,26.58746736,166,10374
2017,goa,10262,southern rock sole,32.01069519,154,5986
2017,goa,21720,Pacific cod,9.72659176,89,2601
2017,goa,30420,northern rockfish,27.93478261,181,2570
2017,goa,10261,northern rock sole,29.21472393,222,4776
2017,goa,30060,Pacific ocean perch,73.55755396,271,20710
2017,goa,30020,shortspine thornyhead,5.463768116,87,10376
