year,species_code,species,mu_hl_sx_n,max_hl_sx_n,total_n
2021,10200,rex sole,37.46633416458853,218,15033
2021,20510,sablefish,29.688524590163933,195,9055
2021,21720,Pacific cod,12.380804953560371,162,3999
2021,21740,walleye pollock,53.66348448687351,781,23218
2021,30060,Pacific ocean perch,81.70609318996416,283,22801
2021,30020,shortspine thornyhead,4.672897196261682,87,10132
2021,10110,arrowtooth flounder,72.98396793587175,321,36429
2021,10262,southern rock sole,39.91244239631337,183,8661
2021,10130,flathead sole,48.2,239,15321
2021,10261,northern rock sole,21.287769784172664,229,2960
2021,30420,northern rockfish,29.82857142857143,208,2088
2021,21921,Atka mackerel,10.777777777777779,146,194
2019,10110,arrowtooth flounder,76.76938369781313,356,38673
2019,10130,flathead sole,43.705329153605014,248,14272
2019,10200,rex sole,32.39506172839506,200,13168
2019,10261,northern rock sole,21.270967741935483,148,3297
2019,10262,southern rock sole,33.541463414634144,191,6878
2019,21720,Pacific cod,11.815873015873017,194,3745
2019,21740,walleye pollock,36.19585253456221,702,16476
2019,21921,Atka mackerel,1.6071428571428572,8,45
2019,30060,Pacific ocean perch,86.13486842105263,268,26270
2019,30420,northern rockfish,30.216216216216218,167,2237
2019,20510,sablefish,26.325301204819276,222,8743
2019,30020,shortspine thornyhead,8.372727272727273,198,10154
2017,21740,walleye pollock,29.46153846153846,842,13782
2017,21921,Atka mackerel,20.838709677419356,170,646
2017,10110,arrowtooth flounder,71.18825910931174,415,35219
2017,20510,sablefish,15.33,197,4599
2017,10130,flathead sole,51.869281045751634,239,16086
2017,10200,rex sole,26.587467362924283,166,10374
2017,10262,southern rock sole,32.01069518716577,154,5986
2017,21720,Pacific cod,9.726591760299625,89,2601
2017,30420,northern rockfish,27.934782608695652,181,2570
2017,10261,northern rock sole,29.21472392638037,222,4776
2017,30060,Pacific ocean perch,73.55755395683454,271,20710
2017,30020,shortspine thornyhead,5.463768115942029,87,10376
