Species,AI,EBS,GOA
Alaska plaice,--,"9,725",--
arrowtooth flounder,"9,864","14,819","36,774"
Atka mackerel,"7,793",--,295
flathead sole,"4,597","22,085","15,226"
Greenland turbot,--,262,--
Kamchatka flounder,--,"2,443",--
northern rock sole,--,"28,454","3,678"
northern rockfish,"14,831",--,"2,298"
Pacific cod,"5,711","12,638","3,448"
Pacific ocean perch,"32,205",384,"23,260"
rex sole,--,--,"12,858"
sablefish,--,--,"7,466"
shortspine thornyhead,"3,465",--,"10,221"
southern rock sole,--,--,"7,175"
walleye pollock,"10,795","183,641","17,825"
yellowfin sole,--,"26,240",--
